Region,Date,Arrivals
New South Wales,07-2019,268050
Victoria,07-2019,201930
Queensland,07-2019,206910
South Australia,07-2019,21950
Western Australia,07-2019,65260
Tasmania,07-2019,5670	
Northern Territory,07-2019,9460
Australian Capital Territory,07-2019,11130
New South Wales,07-2024,234450
Victoria,07-2024,161390
Queensland,07-2024,171360
South Australia,07-2024,15820
Western Australia,07-2024,56420
Tasmania,07-2024,3900
Northern Territory,07-2024,6740
Australian Capital Territory,07-2024,8810